,Data,Cidade,CodigoDaCidade,Regiao,Pais,Latitude,Longigute,TemperaturaMaxima,TemperaturaMinima,TemperaturaMedia,ChanceDeChuva,CondicaoDoTempo,NascerDoSol,PorDoSol,VelocidadeMaximaDoVento
0,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
1,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
2,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
3,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
4,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
5,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
6,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
7,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
8,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
9,"['2022-07-08 03:00:00', '2022-07-09 03:00:00', '2022-07-10 03:00:00', '2022-07-11 03:00:00', '2022-07-12 03:00:00']","['Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba', 'Ubatuba']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","['BR', 'BR', 'BR', 'BR', 'BR']","[-23.4339, -23.4339, -23.4339, -23.4339, -23.4339]","[-45.0711, -45.0711, -45.0711, -45.0711, -45.0711]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.0, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[21.350000000000023, 19.220000000000027, 19.210000000000036, 21.150000000000034, 22.05000000000001]","[0, 0, 0, 0, 0]","['nublado', 'nublado', 'nublado', 'nublado', 'nublado']","['null', 'null', 'null', 'null', 'null']","['null', 'null', 'null', 'null', 'null']","[6.372, 6.732, 4.644, 6.408, 7.74]"
